timestamp,latitude,longitude,sog_kts,cog,hdg_true,roll,pitch
2023-06-25T12:09:00.248,43.6405650,-79.3363766,2.900,139.4,167.0,5.7,0.4
2023-06-25T12:09:01.232,43.6404833,-79.3364033,1.600,155.0,167.5,6.7,-0.3
2023-06-25T12:09:01.743,43.6405000,-79.3363583,1.600,161.5,167.9,6.7,-0.1
2023-06-25T12:09:02.243,43.6405016,-79.3363433,1.600,161.6,167.8,6.3,-0.1
2023-06-25T12:09:02.743,43.6404883,-79.3363500,1.800,160.3,167.9,6.7,0.2
2023-06-25T12:09:03.244,43.6404733,-79.3363550,1.700,163.0,168.4,7.4,0.1
2023-06-25T12:09:03.744,43.6404683,-79.3363566,1.900,167.5,168.2,8.2,0.5
2023-06-25T12:09:04.244,43.6404616,-79.3363566,1.800,167.6,168.0,8.2,0.1
2023-06-25T12:09:04.744,43.6404516,-79.3363583,1.900,177.4,167.5,9.1,0.2
2023-06-25T12:09:05.244,43.6404450,-79.3363600,2.000,172.5,166.8,8.8,0.3
2023-06-25T12:09:05.744,43.6404416,-79.3363616,1.900,166.7,166.8,9.2,0.1
2023-06-25T12:09:06.233,43.6404400,-79.3363600,2.000,170.1,166.8,8.7,0.5
2023-06-25T12:09:06.743,43.6404300,-79.3363600,2.000,170.6,166.7,8.9,-0.1
2023-06-25T12:09:07.242,43.6404233,-79.3363583,2.100,165.8,166.6,8.9,-0.1
2023-06-25T12:09:07.743,43.6404216,-79.3363550,2.200,167.5,166.3,8.7,-0.0
2023-06-25T12:09:08.244,43.6404166,-79.3363550,2.200,167.6,166.3,9.2,0.3
2023-06-25T12:09:08.744,43.6404133,-79.3363516,2.200,168.8,166.3,8.9,0.0
2023-06-25T12:09:09.244,43.6404066,-79.3363483,2.300,164.3,166.4,9.4,0.1
2023-06-25T12:09:09.746,43.6404000,-79.3363450,2.300,166.6,166.1,10.0,0.1
2023-06-25T12:09:10.255,43.6403950,-79.3363433,2.300,168.3,165.8,10.6,0.4
2023-06-25T12:09:10.757,43.6403883,-79.3363433,2.300,164.8,165.7,10.5,0.2
2023-06-25T12:09:11.254,43.6403816,-79.3363416,2.500,168.2,165.8,10.1,0.1
2023-06-25T12:09:11.743,43.6403766,-79.3363400,2.500,167.2,165.7,9.8,0.3
2023-06-25T12:09:12.241,43.6403716,-79.3363400,2.500,167.3,165.2,10.5,0.3
2023-06-25T12:09:12.750,43.6403650,-79.3363350,2.700,165.9,164.9,10.6,0.3
2023-06-25T12:09:13.249,43.6403600,-79.3363333,2.800,167.4,164.4,10.9,0.3
2023-06-25T12:09:13.750,43.6403533,-79.3363316,2.800,167.1,164.0,11.0,0.1
2023-06-25T12:09:14.247,43.6403483,-79.3363283,2.700,163.5,163.0,11.4,0.2
2023-06-25T12:09:14.748,43.6403416,-79.3363266,2.800,165.4,162.4,11.3,0.3
2023-06-25T12:09:15.247,43.6403350,-79.3363233,2.800,163.0,162.6,11.1,0.3
2023-06-25T12:09:15.748,43.6403283,-79.3363200,3.000,158.9,163.0,10.8,0.1
2023-06-25T12:09:16.246,43.6403216,-79.3363166,3.000,161.6,163.3,10.1,0.7
2023-06-25T12:09:16.747,43.6403166,-79.3363133,2.900,164.1,163.6,9.4,-0.0
2023-06-25T12:09:17.248,43.6403116,-79.3363100,3.000,164.4,164.1,9.6,-0.2
2023-06-25T12:09:17.738,43.6403050,-79.3363066,3.100,163.4,164.0,10.3,-0.2
2023-06-25T12:09:18.234,43.6403000,-79.3363050,3.100,162.3,164.0,10.1,0.3
2023-06-25T12:09:18.745,43.6402900,-79.3363000,3.100,161.6,163.9,11.1,0.1
2023-06-25T12:09:19.244,43.6402816,-79.3362950,3.100,162.3,163.9,10.2,-0.2
2023-06-25T12:09:19.745,43.6402750,-79.3362916,3.200,160.5,163.8,9.3,-0.1
2023-06-25T12:09:20.244,43.6402683,-79.3362866,3.100,159.7,164.3,8.0,-0.2
2023-06-25T12:09:20.745,43.6402616,-79.3362833,3.100,160.0,164.8,7.7,-0.7
2023-06-25T12:09:21.234,43.6402550,-79.3362800,3.000,160.1,165.5,7.9,-0.3
2023-06-25T12:09:21.746,43.6402483,-79.3362766,2.900,164.1,164.9,9.2,-0.0
2023-06-25T12:09:22.244,43.6402433,-79.3362733,2.900,161.0,164.2,8.9,0.0
2023-06-25T12:09:22.745,43.6402350,-79.3362716,3.000,165.3,163.7,9.9,-0.0
2023-06-25T12:09:23.244,43.6402300,-79.3362683,2.900,167.6,162.3,10.3,0.3
2023-06-25T12:09:23.744,43.6402250,-79.3362650,2.800,163.7,161.2,10.3,1.2
2023-06-25T12:09:24.236,43.6474266,-79.3479466,2.800,160.8,160.0,11.4,-0.8
2023-06-25T12:09:24.694,43.6402866,-79.3362683,2.600,161.4,159.4,11.2,0.2
2023-06-25T12:09:25.195,43.6402900,-79.3362450,2.500,153.4,160.6,9.9,-0.4
2023-06-25T12:09:25.694,43.6402783,-79.3362333,2.700,163.9,163.6,10.5,-0.1
2023-06-25T12:09:26.197,43.6402533,-79.3362283,2.700,165.3,162.9,9.4,0.7
2023-06-25T12:09:26.697,43.6402200,-79.3362283,2.800,160.3,160.8,8.8,-0.1
2023-06-25T12:09:27.242,43.6401966,-79.3362266,2.800,156.8,158.3,8.1,-0.4
2023-06-25T12:09:27.743,43.6401933,-79.3362233,2.900,155.5,156.8,6.8,0.1
2023-06-25T12:09:28.243,43.6401866,-79.3362183,2.800,155.4,155.1,6.2,-0.2
2023-06-25T12:09:28.733,43.6401800,-79.3362133,2.800,155.4,154.1,6.0,-0.5
2023-06-25T12:09:29.244,43.6401750,-79.3362083,2.800,152.5,158.9,2.1,1.8
2023-06-25T12:09:29.744,43.6401666,-79.3362033,2.600,146.8,162.8,-4.9,2.7
2023-06-25T12:09:30.236,43.6472466,-79.3478966,2.700,149.3,152.2,2.1,-0.3
2023-06-25T12:09:30.743,43.6401750,-79.3361433,2.300,145.8,151.0,1.5,-0.4
2023-06-25T12:09:31.243,43.6401583,-79.3361733,2.700,147.3,151.2,2.1,0.0
2023-06-25T12:09:31.745,43.6401516,-79.3361883,2.700,144.6,159.4,0.5,0.1
