timestamp,latitude,longitude,sog_kts,cog,hdg_true,roll,pitch
2023-07-23T12:03:06.640,43.6405633,-79.3337250,4.900,136.2,157.3,-8.4,4.5
2023-07-23T12:03:07.141,43.6405466,-79.3336933,5.000,142.5,158.8,-8.1,4.0
2023-07-23T12:03:07.643,43.6405550,-79.3336716,4.900,144.7,157.8,-6.6,5.5
2023-07-23T12:03:08.277,43.6405583,-79.3336550,4.900,139.7,158.2,-5.1,4.5
2023-07-23T12:03:08.779,43.6405650,-79.3336283,4.500,138.0,158.9,-4.7,4.3
2023-07-23T12:03:08.782,43.6405466,-79.3336066,3.600,142.4,158.2,-2.2,4.3
2023-07-23T12:03:10.283,43.6405466,-79.3335500,3.700,132.9,157.8,-1.6,5.4
2023-07-23T12:03:10.787,43.6405416,-79.3335016,4.100,128.6,157.4,-4.7,5.8
2023-07-23T12:03:11.286,43.6405383,-79.3334666,4.200,132.5,158.3,-4.8,4.7
2023-07-23T12:03:11.790,43.6405266,-79.3334433,4.400,135.9,159.4,-4.6,4.6
2023-07-23T12:03:12.289,43.6405216,-79.3334283,4.500,138.6,160.5,-4.3,4.6
2023-07-23T12:03:12.789,43.6405150,-79.3334000,4.700,136.7,161.0,-3.9,5.4
2023-07-23T12:03:13.291,43.6405033,-79.3334016,4.700,142.5,161.3,-3.1,4.9
2023-07-23T12:03:13.775,43.6404933,-79.3334016,4.600,143.3,161.2,-0.5,4.2
2023-07-23T12:03:14.276,43.6404883,-79.3333883,4.600,141.4,160.8,-2.4,3.7
2023-07-23T12:03:14.778,43.6404800,-79.3333783,4.600,141.7,160.6,-1.6,4.4
2023-07-23T12:03:15.279,43.6404750,-79.3333633,4.500,140.0,161.1,-1.3,2.7
2023-07-23T12:03:15.779,43.6404700,-79.3333483,4.500,145.1,161.0,-3.2,4.4
2023-07-23T12:03:16.280,43.6404633,-79.3333333,4.500,144.3,160.9,-2.9,3.7
2023-07-23T12:03:16.782,43.6404566,-79.3333216,4.500,143.4,160.1,-4.0,3.4
2023-07-23T12:03:17.283,43.6404500,-79.3333066,4.500,145.5,160.4,-2.8,3.2
2023-07-23T12:03:17.820,43.6404433,-79.3332966,4.600,142.2,160.2,-0.7,3.0
2023-07-23T12:03:18.321,43.6404333,-79.3332900,4.500,143.6,161.4,-1.3,3.0
2023-07-23T12:03:18.806,43.6404250,-79.3332816,4.500,144.2,161.8,1.7,2.6
2023-07-23T12:03:19.258,43.6404150,-79.3332733,4.700,142.6,160.5,3.8,1.9
2023-07-23T12:03:19.758,43.6404083,-79.3332583,4.700,138.4,161.1,0.7,2.9
2023-07-23T12:03:20.257,43.6404016,-79.3332450,4.500,139.5,160.0,1.2,2.5
2023-07-23T12:03:20.757,43.6403933,-79.3332333,4.400,140.3,160.5,-1.3,3.0
2023-07-23T12:03:21.257,43.6403850,-79.3332233,4.400,142.6,159.8,-1.9,2.7
