timestamp,latitude,longitude,sog_kts,cog,hdg_true,roll,pitch
2023-05-30T18:12:09.954,43.6404316,-79.3361116,2.100,353.0,86.1,3.9,4.8
2023-05-30T18:12:10.253,43.6404450,-79.3361233,1.200,20.7,84.2,2.4,3.5
2023-05-30T18:12:10.364,43.6404466,-79.3361200,1.000,24.8,84.1,3.6,4.3
2023-05-30T18:12:10.655,43.6404466,-79.3361166,1.300,66.0,84.1,4.1,4.7
2023-05-30T18:12:10.865,43.6404450,-79.3361150,1.200,64.0,82.7,1.7,4.1
2023-05-30T18:12:11.180,43.6404416,-79.3361133,1.200,63.1,83.2,4.2,3.2
2023-05-30T18:12:11.253,43.6404416,-79.3361116,1.200,68.9,83.4,3.0,4.0
2023-05-30T18:12:11.454,43.6404383,-79.3361083,1.300,83.1,81.8,1.3,4.2
2023-05-30T18:12:11.680,43.6404366,-79.3361050,1.300,79.6,82.0,1.5,3.6
2023-05-30T18:12:11.854,43.6404333,-79.3361016,1.400,71.6,81.9,2.6,4.2
2023-05-30T18:12:11.047,43.6404316,-79.3360983,1.400,70.2,82.7,2.0,3.2
2023-05-30T18:12:11.254,43.6404300,-79.3360933,1.400,74.4,82.9,1.8,3.8
2023-05-30T18:12:11.454,43.6404283,-79.3360883,1.400,84.3,82.8,1.6,3.3
2023-05-30T18:12:11.682,43.6404266,-79.3360833,1.400,90.2,83.2,2.7,3.1
2023-05-30T18:12:11.853,43.6404250,-79.3360800,1.500,101.8,83.2,3.6,3.7
2023-05-30T18:12:13.063,43.6404216,-79.3360733,1.700,107.6,82.8,1.4,4.3
2023-05-30T18:12:13.256,43.6404183,-79.3360666,2.900,107.9,82.5,2.6,4.8
2023-05-30T18:12:13.455,43.6404150,-79.3360616,2.700,110.0,83.5,3.8,4.4
2023-05-30T18:12:13.683,43.6404116,-79.3360550,2.700,109.8,84.0,2.4,2.6
2023-05-30T18:12:13.854,43.6404100,-79.3360483,2.700,110.8,84.1,1.7,3.3
2023-05-30T18:12:14.061,43.6404083,-79.3360433,2.800,106.5,84.5,4.6,2.7
2023-05-30T18:12:14.252,43.6404066,-79.3360383,2.700,101.4,85.8,6.2,3.8
2023-05-30T18:12:14.453,43.6404050,-79.3360350,2.500,97.3,84.9,1.5,4.0
2023-05-30T18:12:14.685,43.6404033,-79.3360300,2.200,95.4,84.9,2.4,3.4
2023-05-30T18:12:14.853,43.6404016,-79.3360250,2.100,101.5,86.3,4.5,5.3
2023-05-30T18:12:15.050,43.6404000,-79.3360200,2.100,104.6,86.2,1.4,2.7
2023-05-30T18:12:15.253,43.6403983,-79.3360150,2.200,97.8,86.8,1.0,2.3
2023-05-30T18:12:15.453,43.6403950,-79.3360100,2.200,99.7,86.7,1.1,3.0
2023-05-30T18:12:15.689,43.6403933,-79.3360066,2.300,107.5,87.5,0.6,1.0
2023-05-30T18:12:15.853,43.6403916,-79.3360033,2.300,106.9,87.3,-2.2,1.0
2023-05-30T18:12:16.044,43.6403900,-79.3360000,2.300,106.7,87.3,-2.0,0.7
2023-05-30T18:12:16.254,43.6403900,-79.3359966,2.300,98.2,87.3,-3.9,1.8
2023-05-30T18:12:16.453,43.6403883,-79.3359933,2.300,105.9,87.3,-7.9,3.4
2023-05-30T18:12:16.694,43.6403900,-79.3359916,2.200,103.4,85.7,-2.9,-0.2
2023-05-30T18:12:16.840,43.6403900,-79.3359883,2.300,103.3,91.5,2.2,-2.8
2023-05-30T18:12:17.062,43.6403883,-79.3359866,2.300,110.9,92.6,-4.0,1.0
2023-05-30T18:12:17.256,43.6403883,-79.3359850,2.400,108.6,93.7,-5.3,0.6
2023-05-30T18:12:17.447,43.6403883,-79.3359816,2.500,110.0,94.6,-2.8,0.6
2023-05-30T18:12:17.696,43.6403866,-79.3359800,2.500,114.0,98.0,-2.6,1.0
2023-05-30T18:12:17.858,43.6403866,-79.3359766,2.500,119.0,98.3,-4.5,1.4
2023-05-30T18:12:18.056,43.6403866,-79.3359733,2.400,120.3,98.6,-2.6,2.4
2023-05-30T18:12:18.258,43.6403866,-79.3359700,2.400,117.3,98.6,-3.6,1.7
2023-05-30T18:12:18.459,43.6403850,-79.3359666,2.400,108.8,98.0,-2.2,1.9
2023-05-30T18:12:18.698,43.6403783,-79.3358650,2.400,117.6,97.7,-0.9,3.4
2023-05-30T18:12:18.862,43.6403783,-79.3358616,2.500,117.2,98.0,-0.7,2.2
2023-05-30T18:12:19.055,43.6403750,-79.3358533,2.500,118.6,99.0,0.3,3.1
2023-05-30T18:12:19.264,43.6403733,-79.3358466,2.500,116.8,98.9,-0.1,3.9
2023-05-30T18:12:19.462,43.6403700,-79.3358416,2.600,118.9,99.8,1.0,3.1
2023-05-30T18:12:19.701,43.6403683,-79.3358383,2.600,120.0,100.3,1.1,4.3
2023-05-30T18:12:19.862,43.6403666,-79.3358350,2.600,120.4,100.0,1.9,2.7
2023-05-30T18:12:20.072,43.6403650,-79.3358316,2.600,115.7,100.6,1.8,2.8
2023-05-30T18:12:20.264,43.6403633,-79.3358283,2.600,115.8,101.1,0.8,4.1
2023-05-30T18:12:20.463,43.6403616,-79.3358250,2.600,117.1,100.6,0.9,4.8
2023-05-30T18:12:20.705,43.6403600,-79.3358216,2.600,119.2,101.0,-0.5,3.9
2023-05-30T18:12:20.863,43.6403583,-79.3358166,2.600,116.2,101.6,-1.2,3.2
2023-05-30T18:12:21.059,43.6403566,-79.3358150,2.600,119.1,102.9,1.5,1.4
2023-05-30T18:12:21.262,43.6403566,-79.3358133,2.600,121.8,104.2,2.4,2.2
2023-05-30T18:12:21.462,43.6403550,-79.3358100,2.600,117.4,104.1,0.6,1.4
2023-05-30T18:12:21.706,43.6403550,-79.3358083,2.600,119.2,102.6,-2.0,4.6
2023-05-30T18:12:21.863,43.6403550,-79.3358066,2.600,122.7,101.9,0.6,3.9
2023-05-30T18:12:22.051,43.6403533,-79.3358050,2.500,122.5,101.8,1.7,3.8
2023-05-30T18:12:22.263,43.6403533,-79.3358033,2.600,120.0,101.9,1.5,4.6
2023-05-30T18:12:22.463,43.6403533,-79.3358016,2.700,120.2,100.8,1.9,4.9
2023-05-30T18:12:22.708,43.6403533,-79.3358000,2.700,125.8,99.7,0.5,3.7
2023-05-30T18:12:22.863,43.6403516,-79.3357966,2.700,122.1,99.0,4.9,4.8
2023-05-30T18:12:23.073,43.6403516,-79.3357950,2.800,119.9,96.5,6.3,4.8
2023-05-30T18:12:23.264,43.6403500,-79.3357916,2.800,115.1,94.1,4.9,4.7
2023-05-30T18:12:23.463,43.6403466,-79.3357900,2.800,106.6,92.4,5.1,4.4
2023-05-30T18:12:23.709,43.6403450,-79.3357866,2.800,105.6,88.5,5.4,5.6
2023-05-30T18:12:23.864,43.6403433,-79.3357850,2.900,102.2,85.6,2.4,6.0
2023-05-30T18:12:24.058,43.6403400,-79.3357800,2.800,97.3,83.4,3.1,3.8
2023-05-30T18:12:24.253,43.6403400,-79.3357800,2.800,96.0,82.1,3.5,2.5
2023-05-30T18:12:24.462,43.6403366,-79.3357716,2.700,86.9,80.4,3.0,3.3
2023-05-30T18:12:24.713,43.6403350,-79.3357666,2.600,90.2,76.1,2.8,3.6
2023-05-30T18:12:24.861,43.6403333,-79.3357633,2.700,83.8,72.8,2.2,3.5
2023-05-30T18:12:25.071,43.6403316,-79.3357600,2.700,82.3,69.8,0.1,1.9
2023-05-30T18:12:25.262,43.6403300,-79.3357566,2.700,71.8,67.2,-0.1,1.1
2023-05-30T18:12:25.465,43.6403283,-79.3357516,2.700,65.3,64.9,-1.9,0.6
2023-05-30T18:12:25.715,43.6403266,-79.3357483,2.700,55.7,59.5,-4.6,-1.1
2023-05-30T18:12:25.863,43.6403266,-79.3357450,2.600,52.4,57.2,-5.2,-3.4
2023-05-30T18:12:26.059,43.6403266,-79.3357416,2.600,47.0,55.1,-5.3,-1.5
2023-05-30T18:12:26.265,43.6403283,-79.3357400,2.500,51.9,51.2,-6.3,-1.3
2023-05-30T18:12:26.466,43.6403300,-79.3357383,2.400,41.4,49.3,-8.5,-2.8
2023-05-30T18:12:26.715,43.6403316,-79.3357366,2.300,41.2,48.0,-12.6,-3.9
2023-05-30T18:12:26.863,43.6403316,-79.3357350,2.400,22.5,47.9,-15.9,-3.8
2023-05-30T18:12:27.055,43.6403333,-79.3357333,2.400,22.5,48.2,-19.6,-2.9
2023-05-30T18:12:27.263,43.6403333,-79.3357316,2.300,14.1,45.2,-18.1,-0.5
2023-05-30T18:12:27.472,43.6403350,-79.3357300,2.300,22.7,42.4,-18.4,0.4
2023-05-30T18:12:27.718,43.6403366,-79.3357300,2.200,28.3,40.3,-10.2,1.9
2023-05-30T18:12:27.862,43.6403383,-79.3357283,2.200,33.8,41.0,-19.5,0.8
2023-05-30T18:12:28.073,43.6403400,-79.3357266,2.100,34.1,42.7,-12.6,0.4
2023-05-30T18:12:28.263,43.6403416,-79.3357266,2.100,25.2,43.6,-14.4,-0.6
2023-05-30T18:12:28.470,43.6403433,-79.3357250,2.000,16.5,42.6,-15.3,2.3
2023-05-30T18:12:28.719,43.6403466,-79.3357250,2.000,8.2,40.1,-18.9,2.5
2023-05-30T18:12:28.861,43.6403483,-79.3357250,2.000,8.3,39.6,-18.9,2.3
2023-05-30T18:12:29.059,43.6403500,-79.3357250,2.000,10.8,39.3,-21.7,1.2
2023-05-30T18:12:29.265,43.6403516,-79.3357250,2.100,8.9,39.8,-26.0,-0.3
2023-05-30T18:12:29.470,43.6403533,-79.3357250,2.100,5.6,38.5,-26.1,-0.8
2023-05-30T18:12:29.662,43.6403550,-79.3357250,1.900,9.3,36.1,-26.8,-0.9
